fact_id,candidate_id,subject_entity,metric_id,metric,value,source_id,source_date,confidence,allowed_wording,prohibited_extension
F-0011,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M04,Flexibility_Fatigue_Life,4,"SRC-P-002-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0012,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M05,Corrosion_Resistance_Rating,4,"SRC-P-002-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN DN8 5/16"" 215 бар: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0013,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M06,Delivery_Damage_Risk,0,"SRC-P-002-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN DN8 5/16"" 215 бар: по показателю «Вероятность повреждения товара при транспортировке.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0014,P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар",M07,Manufacturing_Defect_Probability,0,"SRC-P-002-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN DN8 5/16"" 215 бар: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0015,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M01,Material_Durability_Score,2,"SRC-P-003-01",2026-09-22,DISCOVERED,"РВД Deston 1SN DN6 1/4"" 225 бар: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0016,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M02,Pressure_Resistance_Index,4,"SRC-P-003-01",2026-09-22,OWNER_REPORTED,"РВД Deston 1SN DN6 1/4"" 225 бар: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0017,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M03,Temperature_Range_Capacity,4,"SRC-P-003-01",2026-09-22,OWNER_REPORTED,"РВД Deston 1SN DN6 1/4"" 225 бар: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0018,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M04,Flexibility_Fatigue_Life,4,"SRC-P-003-01",2026-09-22,OWNER_REPORTED,"РВД Deston 1SN DN6 1/4"" 225 бар: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0019,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M05,Corrosion_Resistance_Rating,4,"SRC-P-003-01",2026-09-22,OWNER_REPORTED,"РВД Deston 1SN DN6 1/4"" 225 бар: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0020,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M06,Delivery_Damage_Risk,0,"SRC-P-003-01",2026-09-22,DISCOVERED,"РВД Deston 1SN DN6 1/4"" 225 бар: по показателю «Вероятность повреждения товара при транспортировке.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0021,P-003,"РВД Deston 1SN DN6 1/4"" 225 бар",M07,Manufacturing_Defect_Probability,0,"SRC-P-003-01",2026-09-22,DISCOVERED,"РВД Deston 1SN DN6 1/4"" 225 бар: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск не зафиксирован (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0022,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M01,Material_Durability_Score,0,"SRC-P-004-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: демонстрирует нулевой уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0023,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M02,Pressure_Resistance_Index,4,"SRC-P-004-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0024,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M03,Temperature_Range_Capacity,4,"SRC-P-004-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0025,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M04,Flexibility_Fatigue_Life,4,"SRC-P-004-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0026,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M05,Corrosion_Resistance_Rating,4,"SRC-P-004-01",2026-09-22,OWNER_REPORTED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0027,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M06,Delivery_Damage_Risk,10,"SRC-P-004-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: по показателю «Вероятность повреждения товара при транспортировке.» риск критический (оценка 10/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0028,P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215",M07,Manufacturing_Defect_Probability,10,"SRC-P-004-01",2026-09-22,DISCOVERED,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск критический (оценка 10/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0029,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M01,Material_Durability_Score,0,"SRC-P-005-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN Ду8 5/16"" Ру215: демонстрирует нулевой уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0030,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M02,Pressure_Resistance_Index,4,"SRC-P-005-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN Ду8 5/16"" Ру215: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0031,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M03,Temperature_Range_Capacity,4,"SRC-P-005-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN Ду8 5/16"" Ру215: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0032,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M04,Flexibility_Fatigue_Life,4,"SRC-P-005-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN Ду8 5/16"" Ру215: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0033,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M05,Corrosion_Resistance_Rating,4,"SRC-P-005-01",2026-09-22,OWNER_REPORTED,"РВД Semperit 1SN Ду8 5/16"" Ру215: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0034,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M06,Delivery_Damage_Risk,10,"SRC-P-005-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN Ду8 5/16"" Ру215: по показателю «Вероятность повреждения товара при транспортировке.» риск критический (оценка 10/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0035,P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215",M07,Manufacturing_Defect_Probability,10,"SRC-P-005-01",2026-09-22,DISCOVERED,"РВД Semperit 1SN Ду8 5/16"" Ру215: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск критический (оценка 10/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0036,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M01,Material_Durability_Score,2,"SRC-P-006-01",2026-09-22,DISCOVERED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0037,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M02,Pressure_Resistance_Index,4,"SRC-P-006-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0038,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M03,Temperature_Range_Capacity,4,"SRC-P-006-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0039,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M04,Flexibility_Fatigue_Life,4,"SRC-P-006-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0040,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M05,Corrosion_Resistance_Rating,4,"SRC-P-006-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0041,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M06,Delivery_Damage_Risk,6,"SRC-P-006-01",2026-09-22,DISCOVERED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: по показателю «Вероятность повреждения товара при транспортировке.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0042,P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON",M07,Manufacturing_Defect_Probability,6,"SRC-P-006-01",2026-09-22,DISCOVERED,"Рукав высокого давления (РВД) 1SN DN06-DESTON: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0043,P-007,"Рукав 1SN DN8 P=215 бар",M01,Material_Durability_Score,2,"SRC-P-007-01",2026-09-22,DISCOVERED,"Рукав 1SN DN8 P=215 бар: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0044,P-007,"Рукав 1SN DN8 P=215 бар",M02,Pressure_Resistance_Index,4,"SRC-P-007-01",2026-09-22,OWNER_REPORTED,"Рукав 1SN DN8 P=215 бар: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0045,P-007,"Рукав 1SN DN8 P=215 бар",M03,Temperature_Range_Capacity,4,"SRC-P-007-01",2026-09-22,OWNER_REPORTED,"Рукав 1SN DN8 P=215 бар: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0046,P-007,"Рукав 1SN DN8 P=215 бар",M04,Flexibility_Fatigue_Life,4,"SRC-P-007-01",2026-09-22,OWNER_REPORTED,"Рукав 1SN DN8 P=215 бар: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0047,P-007,"Рукав 1SN DN8 P=215 бар",M05,Corrosion_Resistance_Rating,4,"SRC-P-007-01",2026-09-22,OWNER_REPORTED,"Рукав 1SN DN8 P=215 бар: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0048,P-007,"Рукав 1SN DN8 P=215 бар",M06,Delivery_Damage_Risk,6,"SRC-P-007-01",2026-09-22,DISCOVERED,"Рукав 1SN DN8 P=215 бар: по показателю «Вероятность повреждения товара при транспортировке.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0049,P-007,"Рукав 1SN DN8 P=215 бар",M07,Manufacturing_Defect_Probability,6,"SRC-P-007-01",2026-09-22,DISCOVERED,"Рукав 1SN DN8 P=215 бар: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0050,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M01,Material_Durability_Score,2,"SRC-P-008-01",2026-09-22,DISCOVERED,"Рукав высокого давления DIN 1SN d=08 Semperit: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0051,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M02,Pressure_Resistance_Index,4,"SRC-P-008-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления DIN 1SN d=08 Semperit: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0052,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M03,Temperature_Range_Capacity,4,"SRC-P-008-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления DIN 1SN d=08 Semperit: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0053,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M04,Flexibility_Fatigue_Life,4,"SRC-P-008-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления DIN 1SN d=08 Semperit: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0054,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M05,Corrosion_Resistance_Rating,4,"SRC-P-008-01",2026-09-22,OWNER_REPORTED,"Рукав высокого давления DIN 1SN d=08 Semperit: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0055,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M06,Delivery_Damage_Risk,6,"SRC-P-008-01",2026-09-22,DISCOVERED,"Рукав высокого давления DIN 1SN d=08 Semperit: по показателю «Вероятность повреждения товара при транспортировке.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0056,P-008,"Рукав высокого давления DIN 1SN d=08 Semperit",M07,Manufacturing_Defect_Probability,6,"SRC-P-008-01",2026-09-22,DISCOVERED,"Рукав высокого давления DIN 1SN d=08 Semperit: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0057,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M01,Material_Durability_Score,2,"SRC-P-009-01",2026-09-22,DISCOVERED,"Рукав РВД 1SN DN06 P225 DESTON: демонстрирует минимальный уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 2/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0058,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M02,Pressure_Resistance_Index,4,"SRC-P-009-01",2026-09-22,OWNER_REPORTED,"Рукав РВД 1SN DN06 P225 DESTON: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0059,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M03,Temperature_Range_Capacity,4,"SRC-P-009-01",2026-09-22,OWNER_REPORTED,"Рукав РВД 1SN DN06 P225 DESTON: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0060,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M04,Flexibility_Fatigue_Life,4,"SRC-P-009-01",2026-09-22,OWNER_REPORTED,"Рукав РВД 1SN DN06 P225 DESTON: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0061,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M05,Corrosion_Resistance_Rating,4,"SRC-P-009-01",2026-09-22,OWNER_REPORTED,"Рукав РВД 1SN DN06 P225 DESTON: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0062,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M06,Delivery_Damage_Risk,6,"SRC-P-009-01",2026-09-22,DISCOVERED,"Рукав РВД 1SN DN06 P225 DESTON: по показателю «Вероятность повреждения товара при транспортировке.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0063,P-009,"Рукав РВД 1SN DN06 P225 DESTON",M07,Manufacturing_Defect_Probability,6,"SRC-P-009-01",2026-09-22,DISCOVERED,"Рукав РВД 1SN DN06 P225 DESTON: по показателю «Оценка вероятности наличия скрытых производственных дефектов в партии товара.» риск умеренный (оценка 6/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0064,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M01,Material_Durability_Score,0,"SRC-P-010-01",2026-09-22,DISCOVERED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: демонстрирует нулевой уровень по показателю «Оценка долговечности и износостойкости используемых материалов для РВД.» (оценка 0/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0065,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M02,Pressure_Resistance_Index,4,"SRC-P-010-01",2026-09-22,OWNER_REPORTED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: демонстрирует низкий уровень по показателю «Индекс способности РВД выдерживать высокое рабочее давление без деформации.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0066,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M03,Temperature_Range_Capacity,4,"SRC-P-010-01",2026-09-22,OWNER_REPORTED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: демонстрирует низкий уровень по показателю «Показатель допустимого диапазона рабочих температур для конкретного РВД.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0067,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M04,Flexibility_Fatigue_Life,4,"SRC-P-010-01",2026-09-22,OWNER_REPORTED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: демонстрирует низкий уровень по показателю «Срок службы РВД при циклических изгибах и деформациях.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0068,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M05,Corrosion_Resistance_Rating,4,"SRC-P-010-01",2026-09-22,OWNER_REPORTED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: демонстрирует низкий уровень по показателю «Рейтинг устойчивости компонентов РВД к коррозии в различных средах.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0069,P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR",M06,Delivery_Damage_Risk,10,"SRC-P-010-01",2026-09-22,DISCOVERED,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR: по показателю «Вероятность повреждения товара при транспортировке.» риск критический (оценка 10/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
