candidate_id,website,metric_id,expert_score_raw,capped_score,decision_status,evidence_status,max_allowed_score,source_ids
P-006,automaster05.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-006-01"
P-006,automaster05.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,automaster05.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,automaster05.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,automaster05.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,automaster05.ru,M06,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-006-01"
P-006,automaster05.ru,M07,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-006-01"
P-007,nz-parts.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-007-01"
P-007,nz-parts.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,nz-parts.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,nz-parts.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,nz-parts.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,nz-parts.ru,M06,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-007-01"
P-007,nz-parts.ru,M07,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-007-01"
P-008,lambrizseller.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-008-01"
P-008,lambrizseller.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,lambrizseller.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,lambrizseller.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,lambrizseller.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,lambrizseller.ru,M06,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-008-01"
P-008,lambrizseller.ru,M07,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-008-01"
P-009,promma.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-009-01"
P-009,promma.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,promma.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,promma.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,promma.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,promma.ru,M06,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-009-01"
P-009,promma.ru,M07,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-009-01"
P-010,lomaxstore.ru,M01,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-010-01"
P-010,lomaxstore.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,lomaxstore.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,lomaxstore.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,lomaxstore.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,lomaxstore.ru,M06,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-010-01"
P-010,lomaxstore.ru,M07,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-010-01"
P-011,ankas.ru,M01,4,2,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-011-01"
P-011,ankas.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-011-01"
P-011,ankas.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-011-01"
P-011,ankas.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-011-01"
P-011,ankas.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-011-01"
P-011,ankas.ru,M06,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-011-01"
P-011,ankas.ru,M07,6,6,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-011-01"
P-012,gidromsh.ru,M01,0,0,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-012-01"
P-012,gidromsh.ru,M02,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-012-01"
P-012,gidromsh.ru,M03,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-012-01"
P-012,gidromsh.ru,M04,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-012-01"
P-012,gidromsh.ru,M05,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-012-01"
P-012,gidromsh.ru,M06,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-012-01"
P-012,gidromsh.ru,M07,10,10,ESTABLISHED_WITH_EVIDENCE,DISCOVERED,2,"SRC-P-012-01"
